concept_name,concept_table,MICU,SICU,gap,feature_new_name
-bands,lab,0.2087358744655959,0.1473851030109705,0.0613507714546253,-bands
-basos,lab,0.7097605246204638,0.6348319292679666,0.0749285953524971,-basos
-eos,lab,0.7159084255514281,0.6387521895065154,0.0771562360449127,-eos
-lymphs,lab,0.7459453129569963,0.6589373592454258,0.0870079537115704,-lymphs
-monos,lab,0.7310732478478066,0.6453415630989695,0.085731684748837,-monos
-polys,lab,0.5726330581412421,0.556593544081611,0.0160395140596311,-polys
24 h urine protein,lab,0.025528426722861,0.0206856284927677,0.0048427982300933,24 h urine protein
24 h urine urea nitrogen,lab,0.0004098600620642,0.0014179664692623,0.001008106407198,24 h urine urea nitrogen
ABACAVIR SULFATE                                                                                                                                                                                                                                               ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ABACAVIR SULFATE                                                                                                                                                                                                                                               
ABILIFY                                                                                                                                                                                                                                                        ,adm,0.0016394402482571,0.0031695721077628,0.0015301318595056,ABILIFY                                                                                                                                                                                                                                                        
ACAMPROSATE CALCIUM                                                                                                                                                                                                                                            ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACAMPROSATE CALCIUM                                                                                                                                                                                                                                            
ACARBOSE                                                                                                                                                                                                                                                       ,adm,0.0001171028748755,0.0003336391692381,0.0002165362943626,ACARBOSE                                                                                                                                                                                                                                                       
ACCOLATE                                                                                                                                                                                                                                                       ,adm,0.000234205749751,8.340979230954757e-05,0.0001507959574414,ACCOLATE                                                                                                                                                                                                                                                       
ACCU-CHEK                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACCU-CHEK                                                                                                                                                                                                                                                      
ACCU-CHEK COMPACT                                                                                                                                                                                                                                              ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACCU-CHEK COMPACT                                                                                                                                                                                                                                              
ACCUNEB                                                                                                                                                                                                                                                        ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACCUNEB                                                                                                                                                                                                                                                        
ACCUPRIL                                                                                                                                                                                                                                                       ,adm,0.0006440658118153,0.0002502293769286,0.0003938364348866,ACCUPRIL                                                                                                                                                                                                                                                       
ACCURETIC                                                                                                                                                                                                                                                      ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACCURETIC                                                                                                                                                                                                                                                      
ACETAMINOPH-CAFF-DIHYDROCODEIN                                                                                                                                                                                                                                 ,adm,5.855143743775481e-05,8.340979230954757e-05,2.4858354871792764e-05,ACETAMINOPH-CAFF-DIHYDROCODEIN                                                                                                                                                                                                                                 
ACETAMINOPHEN                                                                                                                                                                                                                                                  ,adm,0.0033959833713897,0.0072566519309306,0.0038606685595408,ACETAMINOPHEN                                                                                                                                                                                                                                                  
ACETAMINOPHEN 8 HOUR                                                                                                                                                                                                                                           ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACETAMINOPHEN 8 HOUR                                                                                                                                                                                                                                           
ACETAMINOPHEN ER                                                                                                                                                                                                                                               ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACETAMINOPHEN ER                                                                                                                                                                                                                                               
ACETAMINOPHEN W-CODEINE                                                                                                                                                                                                                                        ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACETAMINOPHEN W-CODEINE                                                                                                                                                                                                                                        
ACETAMINOPHEN WITH CODEINE PHOSPHATE                                                                                                                                                                                                                           ,adm,0.0001756543123132,0.000166819584619,8.83472769416929e-06,ACETAMINOPHEN WITH CODEINE PHOSPHATE                                                                                                                                                                                                                           
ACETAMINOPHEN-CODEINE                                                                                                                                                                                                                                          ,adm,0.0001171028748755,0.0002502293769286,0.0001331265020531,ACETAMINOPHEN-CODEINE                                                                                                                                                                                                                                          
ACETAZOLAMIDE                                                                                                                                                                                                                                                  ,adm,0.0001171028748755,0.0003336391692381,0.0002165362943626,ACETAZOLAMIDE                                                                                                                                                                                                                                                  
ACETIC ACID                                                                                                                                                                                                                                                    ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACETIC ACID                                                                                                                                                                                                                                                    
ACETYLCYSTEINE                                                                                                                                                                                                                                                 ,adm,0.0008197201241285,0.0003336391692381,0.0004860809548903,ACETYLCYSTEINE                                                                                                                                                                                                                                                 
ACIDOPHILUS                                                                                                                                                                                                                                                    ,adm,0.0003513086246265,0.0005004587538572,0.0001491501292307,ACIDOPHILUS                                                                                                                                                                                                                                                    
ACIPHEX                                                                                                                                                                                                                                                        ,adm,0.0003513086246265,0.0002502293769286,0.0001010792476978,ACIPHEX                                                                                                                                                                                                                                                        
ACITRETIN                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACITRETIN                                                                                                                                                                                                                                                      
ACLIDINIUM BROMIDE                                                                                                                                                                                                                                             ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACLIDINIUM BROMIDE                                                                                                                                                                                                                                             
ACTIGALL                                                                                                                                                                                                                                                       ,adm,0.0003513086246265,0.0003336391692381,1.766945538833858e-05,ACTIGALL                                                                                                                                                                                                                                                       
ACTIVASE                                                                                                                                                                                                                                                       ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACTIVASE                                                                                                                                                                                                                                                       
ACTIVELLA                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACTIVELLA                                                                                                                                                                                                                                                      
ACTONEL                                                                                                                                                                                                                                                        ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACTONEL                                                                                                                                                                                                                                                        
ACTOPLUS MET                                                                                                                                                                                                                                                   ,adm,5.855143743775481e-05,0.0002502293769286,0.0001916779394908,ACTOPLUS MET                                                                                                                                                                                                                                                   
ACTOS                                                                                                                                                                                                                                                          ,adm,0.0010539258738795,0.0012511468846432,0.0001972210107636,ACTOS                                                                                                                                                                                                                                                          
ACULAR                                                                                                                                                                                                                                                         ,adm,5.855143743775481e-05,0.000166819584619,0.0001082681471813,ACULAR                                                                                                                                                                                                                                                         
ACYCLOVIR                                                                                                                                                                                                                                                      ,adm,0.0009953744364418,0.0013345566769527,0.0003391822405109,ACYCLOVIR                                                                                                                                                                                                                                                      
ACYCLOVIR/HYDROCORTISONE                                                                                                                                                                                                                                       ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ACYCLOVIR/HYDROCORTISONE                                                                                                                                                                                                                                       
ACZONE                                                                                                                                                                                                                                                         ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ACZONE                                                                                                                                                                                                                                                         
ADALAT CC                                                                                                                                                                                                                                                      ,adm,0.0009953744364418,0.000917507715405,7.786672103680839e-05,ADALAT CC                                                                                                                                                                                                                                                      
ADALIMUMAB                                                                                                                                                                                                                                                     ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ADALIMUMAB                                                                                                                                                                                                                                                     
ADDERALL                                                                                                                                                                                                                                                       ,adm,0.000468411499502,0.0012511468846432,0.0007827353851411,ADDERALL                                                                                                                                                                                                                                                       
ADEMPAS                                                                                                                                                                                                                                                        ,adm,0.0001171028748755,8.340979230954757e-05,3.369308256596205e-05,ADEMPAS                                                                                                                                                                                                                                                        
ADIPEX-P                                                                                                                                                                                                                                                       ,adm,5.855143743775481e-05,8.340979230954757e-05,2.4858354871792764e-05,ADIPEX-P                                                                                                                                                                                                                                                       
ADVACLEAR                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ADVACLEAR                                                                                                                                                                                                                                                      
ADVAIR DISKUS                                                                                                                                                                                                                                                  ,adm,0.0103636044264826,0.0150971724080281,0.0047335679815455,ADVAIR DISKUS                                                                                                                                                                                                                                                  
ADVAIR HFA                                                                                                                                                                                                                                                     ,adm,0.000234205749751,0.0002502293769286,1.6023627177623494e-05,ADVAIR HFA                                                                                                                                                                                                                                                     
ADVICOR                                                                                                                                                                                                                                                        ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ADVICOR                                                                                                                                                                                                                                                        
ADVIL                                                                                                                                                                                                                                                          ,adm,0.0014052344985061,0.0020018350154291,0.000596600516923,ADVIL                                                                                                                                                                                                                                                          
ADVIL PM                                                                                                                                                                                                                                                       ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ADVIL PM                                                                                                                                                                                                                                                       
AFLIBERCEPT                                                                                                                                                                                                                                                    ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,AFLIBERCEPT                                                                                                                                                                                                                                                    
AFRIN                                                                                                                                                                                                                                                          ,adm,0.0001171028748755,0.0,0.0001171028748755,AFRIN                                                                                                                                                                                                                                                          
AGGRENOX                                                                                                                                                                                                                                                       ,adm,0.0002927571871887,0.0012511468846432,0.0009583896974544,AGGRENOX                                                                                                                                                                                                                                                       
